Pclass,Sex,Age,SibSp,Parch,Class
3,1,42,0,0,0
1,2,18,1,0,1
1,1,35,0,0,1
3,2,18,0,1,0
3,1,25,0,0,0
3,1,26,1,0,0
2,1,39,0,0,0
2,2,45,0,0,1
1,1,42,0,0,1
1,2,22,0,0,1
3,1,29.7,1,1,1
1,2,24,0,0,1
1,1,29.7,0,0,0
1,1,48,1,0,1
3,1,29,0,0,0
2,1,52,0,0,0
3,1,19,0,0,0
1,2,38,0,0,1
2,2,27,0,0,1
3,1,29.7,0,0,0
3,1,33,0,0,0
2,2,6,0,1,1
3,1,17,1,0,0
2,1,34,0,0,0
2,1,50,0,0,0
1,1,27,1,0,1
3,1,20,0,0,0
2,2,30,3,0,1
3,2,29.7,0,0,1
2,1,25,1,0,0
3,2,25,1,0,0
1,2,29,0,0,1
3,1,11,0,0,0
2,1,29.7,0,0,0
2,1,23,0,0,0
2,1,23,0,0,0
3,1,28.5,0,0,0
3,2,48,1,3,0
1,1,35,0,0,1
3,1,29.7,0,0,0
3,1,29.7,0,0,0
1,1,29.7,0,0,1
1,1,36,1,0,0
1,2,21,2,2,1
3,1,24,1,0,0
3,1,31,0,0,1
1,1,70,1,1,0
3,1,16,1,1,0
2,2,30,0,0,1
1,1,19,1,0,0
3,1,31,0,0,0
2,2,4,1,1,1
3,1,6,0,1,1
3,1,33,0,0,0
3,1,23,0,0,0
2,2,48,1,2,1
2,1,0.67,1,1,1
3,1,28,0,0,0
2,1,18,0,0,0
3,1,34,0,0,0
1,2,33,0,0,1
3,1,29.7,0,0,0
3,1,41,0,0,0
3,1,20,0,0,1
1,2,36,1,2,1
3,1,16,0,0,0
1,2,51,1,0,1
1,1,29.7,0,0,0
3,2,30.5,0,0,0
3,1,29.7,1,0,0
3,1,32,0,0,0
3,1,24,0,0,0
3,1,48,0,0,0
2,2,57,0,0,0
3,1,29.7,0,0,0
2,2,54,1,3,1
3,1,18,0,0,0
3,1,29.7,0,0,0
3,2,5,0,0,1
3,1,29.7,0,0,0
1,2,43,0,1,1
3,2,13,0,0,1
1,2,17,1,0,1
1,1,29,0,0,0
3,1,29.7,1,2,0
3,1,25,0,0,0
3,1,25,0,0,0
3,2,18,0,0,1
3,1,8,4,1,0
3,1,1,1,2,1
1,1,46,0,0,0
3,1,29.7,0,0,0
2,1,16,0,0,0
3,2,29.7,8,2,0
1,1,29.7,0,0,0
3,1,25,0,0,0
2,1,39,0,0,0
1,2,49,0,0,1
3,2,31,0,0,1
3,1,30,0,0,0
3,2,30,1,1,0
2,1,34,0,0,0
2,2,31,1,1,1
1,1,11,1,2,1
3,1,0.42,0,1,1
3,1,27,0,0,1
3,1,31,0,0,0
1,1,39,0,0,0
3,2,18,0,0,0
2,1,39,0,0,0
1,2,33,1,0,1
3,1,26,0,0,0
3,1,39,0,0,0
2,1,35,0,0,0
3,2,6,4,2,0
3,1,30.5,0,0,0
1,1,29.7,0,0,0
3,2,23,0,0,0
2,1,31,1,1,0
3,1,43,0,0,0
3,1,10,3,2,0
1,2,52,1,1,1
3,1,27,0,0,1
1,1,38,0,0,0
3,2,27,0,1,1
3,1,2,4,1,0
3,1,29.7,0,0,0
3,1,29.7,0,0,0
2,1,1,0,2,1
3,1,29.7,0,0,1
1,2,62,0,0,1
3,2,15,1,0,1
2,1,0.83,1,1,1
3,1,29.7,0,0,0
3,1,23,0,0,0
3,1,18,0,0,0
1,2,39,1,1,1
3,1,21,0,0,0
3,1,29.7,0,0,0
3,1,32,0,0,1
1,1,29.7,0,0,1
3,1,20,0,0,0
2,1,16,0,0,0
1,2,30,0,0,1
3,1,34.5,0,0,0
3,1,17,0,0,0
3,1,42,0,0,0
3,1,29.7,8,2,0
3,1,35,0,0,0
2,1,28,0,1,0
1,2,29.7,1,0,1
3,1,4,4,2,0
3,1,74,0,0,0
3,2,9,1,1,0
1,2,16,0,1,1
2,2,44,1,0,0
3,2,18,0,1,1
1,2,45,1,1,1
1,1,51,0,0,1
3,2,24,0,3,1
3,1,29.7,0,0,0
3,1,41,2,0,0
2,1,21,1,0,0
1,2,48,0,0,1
3,2,29.7,8,2,0
2,1,24,0,0,0
2,2,42,0,0,1
2,2,27,1,0,1
1,1,31,0,0,0
3,1,29.7,0,0,0
3,1,4,1,1,1
3,1,26,0,0,0
1,2,47,1,1,1
1,1,33,0,0,0
3,1,47,0,0,0
2,2,28,1,0,1
3,2,15,0,0,1
3,1,20,0,0,0
3,1,19,0,0,0
3,1,29.7,0,0,0
1,2,56,0,1,1
2,2,25,0,1,1
3,1,33,0,0,0
3,2,22,0,0,0
2,1,28,0,0,0
3,1,25,0,0,0
3,2,39,0,5,0
2,1,27,0,0,0
1,2,19,0,0,1
3,2,29.7,1,2,0
1,1,26,0,0,1
3,1,32,0,0,0
